system,code,display,priority,evidence
http://hl7.org/fhir/sid/icd-10-cm,A37,Whooping cough,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.0,Whooping cough due to Bordetella pertussis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.00,Whooping cough due to Bordetella pertussis without pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.01,Whooping cough due to Bordetella pertussis with pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.1,Whooping cough due to Bordetella parapertussis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.10,Whooping cough due to Bordetella parapertussis without pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.11,Whooping cough due to Bordetella parapertussis with pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.8,Whooping cough due to other Bordetella species,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.80,Whooping cough due to other Bordetella species without pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.81,Whooping cough due to other Bordetella species with pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.9,"Whooping cough, unspecified species",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.90,"Whooping cough, unspecified species without pneumonia",high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A37.91,"Whooping cough, unspecified species with pneumonia",high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A38,Scarlet fever,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A38.0,Scarlet fever with otitis media,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A38.1,Scarlet fever with myocarditis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A38.8,Scarlet fever with other complications,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A38.9,"Scarlet fever, uncomplicated",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39,Meningococcal infection,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.0,Meningococcal meningitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.1,Waterhouse-Friderichsen syndrome,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.2,Acute meningococcemia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.3,Chronic meningococcemia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.4,"Meningococcemia, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.5,Meningococcal heart disease,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.50,"Meningococcal carditis, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.51,Meningococcal endocarditis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.52,Meningococcal myocarditis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.53,Meningococcal pericarditis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.8,Other meningococcal infections,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.81,Meningococcal encephalitis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.82,Meningococcal retrobulbar neuritis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.83,Meningococcal arthritis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.84,Postmeningococcal arthritis,high,
http://hl7.org/fhir/sid/icd-10-cm,A39.89,Other meningococcal infections,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A39.9,"Meningococcal infection, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A40,Streptococcal sepsis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A40.0,"Sepsis due to streptococcus, group A",high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A40.1,"Sepsis due to streptococcus, group B",high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A40.3,Sepsis due to Streptococcus pneumoniae,high,confirmed
