"system","code","display","include","likely","preop","transplant","rejection","failure","outcome","lab","imaging"
"http://snomed.info/sct","473195006","Normal renal function of transplanted kidney (finding)","true",,,"true",,,,,
"http://snomed.info/sct","927531000000100","Ultrasonography of transplanted kidney with contrast (procedure)","true",,,,,,,,"true"
"http://snomed.info/sct","765479007","Allotransplantation of right kidney (procedure)","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","0TY0","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Right","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","0TY10Z","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Left @ Open @ No Device","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","BT29YZ","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Other Contrast @ None","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT49Z","Imaging @ Urinary System @ Ultrasonography @ Kidney Transplant @ None","true",,,,,,,,"true"
"http://snomed.info/sct","765478004","Allotransplantation of left kidney (procedure)","true",,,"true",,,,,
"http://www.ama-assn.org/go/cpt","50329","PREP RENAL GRAFT/URETERAL","true",,"true",,,,,,
"http://hl7.org/fhir/sid/icd-10-cm","Z48.22","Encounter for aftercare following kidney transplant","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","0TY10Z1","Transplantation of Left Kidney, Syngeneic, Open Approach","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","B42M0ZZ","Computerized Tomography (CT Scan) of Renal Artery Transplant using High Osmolar Contrast","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MZ","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ None","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT2900Z","Computerized Tomography (CT Scan) of Kidney Transplant using High Osmolar Contrast, Unenhanced and Enhanced","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT291Z","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Low Osmolar @ None","true",,,,,,,,"true"
